"","Categorie","Forme","Gender","Marque","Material Fond","Material Front","Structure","Taille","Taille Temple","year"
"87","Lunettes de Soleil","AVIATOR / NAVIGATOR","MAN","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",50,140,2017
"88","Lunettes de Soleil","NAVIGATOR","UNISEX AD","CARRERA","OPTYL","OPTYL","FULL-RIM",53,145,2017
"89","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"90","Lunettes de Soleil","ROUND / OVAL","UNISEX AD","CARRERA","LONG TIP ACETATE","METAL (M)","FULL-RIM",53,145,2017
"91","Lunettes Optiques","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","OPTYL","OPTYL","FULL-RIM",53,145,2017
"92","Lunettes Optiques","NAVIGATOR","MAN","CARRERA","OPTYL","OPTYL","FULL-RIM",54,145,2017
"93","Lunettes Optiques","MULTISHAPE","UNISEX AD","CARRERA","METAL","STEEL","FULL-RIM",50,145,2017
"94","Lunettes de Soleil","MULTISHAPE","UNISEX AD","CARRERA","METAL","STEEL","FULL-RIM",50,145,2018
"95","Lunettes Optiques","SQUARE","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"96","Lunettes Optiques","AVIATNAVI","UNISEX AD","CARRERA","STEEL","METAL","RIMLESS",51,145,2017
"97","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"98","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"99","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"100","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"101","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"102","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"103","Lunettes Optiques","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"104","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"105","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"106","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"107","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"108","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"109","Lunettes Optiques","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"110","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"111","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"112","Lunettes de Soleil","SQUARE","MAN","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"113","Lunettes Optiques","SQUARE","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"114","Lunettes Optiques","SQUARE","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",51,145,2017
"115","Lunettes Optiques","ROUND / OVAL","MAN","CARRERA","METAL","METAL (M)","RIMLESS",51,145,2019
"116","Lunettes Optiques","CAT-EYE","UNISEX AD","CARRERA","METAL","METAL","FULL-RIM",51,145,2019
"117","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",54,130,2016
"118","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",54,130,2016
"119","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","OPTYL","ACETATE","FULL-RIM",62,130,2016
"120","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",54,130,2016
"121","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"122","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"123","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"124","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"125","Lunettes Optiques","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","RIMLESS",54,145,2016
"126","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"127","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",54,145,2016
"128","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"129","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"130","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"131","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",53,135,2018
"132","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",54,145,2016
"133","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","METAL","RIMLESS",62,130,2016
"134","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"135","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","POLYAMIDE INJ","FULL-RIM",62,130,2016
"136","Lunettes de Soleil","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ RUBBER","METAL","RIMLESS",62,130,2016
"137","Lunettes de Soleil","ROUND / OVAL","WOMAN","CARRERA","POLYAMIDE INJ","POLYAMIDE INJ","FULL-RIM",49,140,2015
"138","Lunettes de Soleil","ROUND / OVAL","WOMAN","CARRERA","METAL","POLY INJ METAL","FULL-RIM",52,140,2015
"139","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"140","Lunettes Optiques","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"141","Lunettes Optiques","RECTANGULAR / SQUARE","MAN","CARRERA","INJECTED/PROPIONATE","ACETATE","FULL-RIM",49,145,2014
"142","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"143","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"144","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"145","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"146","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"147","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"148","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"149","Lunettes Optiques","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"150","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"151","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"152","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"153","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"154","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"155","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"156","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"157","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"158","Lunettes de Soleil","AVIATNAVI","MAN","CARRERA","POLYAMIDE INJ","STEEL","FULL-RIM",62,140,2018
"159","Lunettes Optiques","RECTANGULAR / SQUARE","MAN","CARRERA","POLYAMIDE INJ","ACETATE","FULL-RIM",53,145,2018
"160","Lunettes de Soleil","RECTANGULAR / SQUARE","WOMAN","CARRERA","POLYAMIDE INJ","POLYAMIDE INJ","FULL-RIM",48,130,2013
"161","Lunettes de Soleil","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"162","Lunettes de Soleil","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"163","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"164","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"165","Lunettes de Soleil","ROUND / OVAL","CHILD","CARRERA","POLYAMIDE INJ","POLYAMIDE INJ","FULL-RIM",44,125,2016
"166","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"167","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"168","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"169","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"170","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"171","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"172","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"173","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"174","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"175","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"176","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","DIOR","ACETATE","ACETATE","FULL-RIM",53,140,2013
"177","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"178","Lunettes de Soleil","CAT-EYE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"179","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","CARRERA","ACETATE","ACETATE","FULL-RIM",53,140,2013
"180","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","DIOR","ACETATE","ACETATE","FULL-RIM",53,140,2013
"181","Lunettes Optiques","ROUND / OVAL","WOMAN","DIOR","ACETATE","ACETATE","FULL-RIM",52,140,2013
"182","Lunettes Optiques","ROUND / OVAL","WOMAN","DIOR","ACETATE","ACETATE","FULL-RIM",53,140,2013
"183","Lunettes Optiques","CAT-EYE","WOMAN","DIOR","ACETATE","ACETATE","FULL-RIM",53,140,2013
"184","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"185","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","DIOR","CELLULOSE P.INJ","STEEL","FULL-RIM",53,135,2013
"186","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"187","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"188","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"189","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"190","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"191","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"192","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"193","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"194","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"195","Lunettes de Soleil","RECTANGULAR / SQUARE","WOMAN","DIOR","METAL","ACETATE","FULL-RIM",55,145,2016
"196","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"197","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"198","Lunettes de Soleil","SQUARE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"199","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"200","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"201","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"202","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"203","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"204","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","METAL","METAL (M)","FULL-RIM",50,145,2016
"205","Lunettes Optiques","RECTANGULAR / SQUARE","WOMAN","DIOR","METAL","OPTYL METAL","FULL-RIM",53,145,2016
"206","Lunettes Optiques","ROUND / OVAL","WOMAN","DIOR","METAL","ACETATE","FULL-RIM",51,145,2016
"207","Lunettes Optiques","SQUARE","WOMAN","DIOR","ACETATE","METAL","FULL-RIM",47,145,2015
"208","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","ACETATE","METAL","FULL-RIM",61,145,2017
"209","Lunettes de Soleil","CAT-EYE","WOMAN","DIOR","ACETATE","METAL","FULL-RIM",61,145,2017
